"DATA_REF";"casos_novos";"mm_7d";"diagnostico"
1954-01-01;1;NA;"COVID-19"
1994-04-05;1;NA;"COVID-19"
1996-04-06;1;NA;"COVID-19"
2013-06-24;1;NA;"COVID-19"
2015-09-30;1;NA;"COVID-19"
2019-07-01;1;NA;"COVID-19"
2019-07-16;1;1;"COVID-19"
2019-07-24;1;1;"COVID-19"
2019-07-26;2;1,14285714285714;"COVID-19"
2019-07-28;1;1,14285714285714;"COVID-19"
2019-07-31;1;1,14285714285714;"COVID-19"
2020-01-01;119;18;"COVID-19"
2020-01-04;10;19,2857142857143;"COVID-19"
2020-01-05;42;25,1428571428571;"COVID-19"
2020-01-06;3;25,4285714285714;"COVID-19"
2020-01-07;1;25,2857142857143;"COVID-19"
2020-01-09;1;25,2857142857143;"COVID-19"
2020-01-10;1;25,2857142857143;"COVID-19"
2020-01-12;2;8,57142857142857;"COVID-19"
2020-01-13;1;7,28571428571429;"COVID-19"
2020-01-16;3;1,71428571428571;"COVID-19"
2020-01-17;2;1,57142857142857;"COVID-19"
2020-01-19;1;1,57142857142857;"COVID-19"
2020-01-20;1;1,57142857142857;"COVID-19"
2020-01-22;2;1,71428571428571;"COVID-19"
2020-01-24;1;1,57142857142857;"COVID-19"
2020-01-25;1;1,57142857142857;"COVID-19"
2020-01-26;2;1,42857142857143;"COVID-19"
2020-01-27;1;1,28571428571429;"COVID-19"
2020-01-29;1;1,28571428571429;"COVID-19"
2020-01-30;4;1,71428571428571;"COVID-19"
2020-02-01;5;2,14285714285714;"COVID-19"
2020-02-02;6;2,85714285714286;"COVID-19"
2020-02-03;7;3,71428571428571;"COVID-19"
2020-02-04;10;4,85714285714286;"COVID-19"
2020-02-05;41;10,5714285714286;"COVID-19"
2020-02-06;3;10,8571428571429;"COVID-19"
2020-02-07;4;10,8571428571429;"COVID-19"
2020-02-08;2;10,4285714285714;"COVID-19"
2020-02-09;2;9,85714285714286;"COVID-19"
2020-02-10;5;9,57142857142857;"COVID-19"
2020-02-12;1;8,28571428571429;"COVID-19"
2020-02-13;3;2,85714285714286;"COVID-19"
2020-02-14;1;2,57142857142857;"COVID-19"
2020-02-15;7;3;"COVID-19"
2020-02-16;4;3,28571428571429;"COVID-19"
2020-02-17;7;4;"COVID-19"
2020-02-18;8;4,42857142857143;"COVID-19"
2020-02-19;2;4,57142857142857;"COVID-19"
2020-02-20;10;5,57142857142857;"COVID-19"
2020-02-22;8;6,57142857142857;"COVID-19"
2020-02-23;4;6,14285714285714;"COVID-19"
2020-02-24;4;6,14285714285714;"COVID-19"
2020-02-26;8;6,28571428571429;"COVID-19"
2020-02-27;4;5,71428571428571;"COVID-19"
2020-02-28;7;6,42857142857143;"COVID-19"
2020-02-29;1;5,14285714285714;"COVID-19"
2020-03-01;20;6,85714285714286;"COVID-19"
2020-03-02;8;7,42857142857143;"COVID-19"
2020-03-03;9;8,14285714285714;"COVID-19"
2020-03-04;20;9,85714285714286;"COVID-19"
2020-03-05;8;10,4285714285714;"COVID-19"
2020-03-06;11;11;"COVID-19"
2020-03-07;2;11,1428571428571;"COVID-19"
2020-03-08;4;8,85714285714286;"COVID-19"
2020-03-09;15;9,85714285714286;"COVID-19"
2020-03-10;32;13,1428571428571;"COVID-19"
2020-03-11;7;11,2857142857143;"COVID-19"
2020-03-12;27;14;"COVID-19"
2020-03-13;36;17,5714285714286;"COVID-19"
2020-03-14;24;20,7142857142857;"COVID-19"
2020-03-15;42;26,1428571428571;"COVID-19"
2020-03-16;55;31,8571428571429;"COVID-19"
2020-03-17;58;35,5714285714286;"COVID-19"
2020-03-18;51;41,8571428571429;"COVID-19"
2020-03-19;52;45,4285714285714;"COVID-19"
2020-03-20;82;52;"COVID-19"
