"DATA_OBITO";"obitos";"mm_7d"
2020-03-28;1;NA
2020-03-30;2;NA
2020-04-01;1;NA
2020-04-02;2;NA
2020-04-03;2;NA
2020-04-04;2;NA
2020-04-05;1;1,57142857142857
2020-04-06;3;1,85714285714286
2020-04-07;5;2,28571428571429
2020-04-08;1;2,28571428571429
2020-04-10;2;2,28571428571429
2020-04-11;1;2,14285714285714
2020-04-12;1;2
2020-04-13;3;2,28571428571429
2020-04-14;3;2,28571428571429
2020-04-15;5;2,28571428571429
2020-04-16;7;3,14285714285714
2020-04-17;4;3,42857142857143
2020-04-18;8;4,42857142857143
2020-04-19;2;4,57142857142857
2020-04-20;3;4,57142857142857
2020-04-21;6;5
2020-04-22;14;6,28571428571429
2020-04-23;13;7,14285714285714
2020-04-24;9;7,85714285714286
2020-04-25;7;7,71428571428571
2020-04-26;6;8,28571428571429
2020-04-27;9;9,14285714285714
2020-04-28;10;9,71428571428571
2020-04-29;12;9,42857142857143
2020-04-30;16;9,85714285714286
2020-05-01;6;9,42857142857143
2020-05-02;14;10,4285714285714
2020-05-03;15;11,7142857142857
2020-05-04;18;13
2020-05-05;13;13,4285714285714
2020-05-06;8;12,8571428571429
2020-05-07;23;13,8571428571429
2020-05-08;21;16
2020-05-09;20;16,8571428571429
2020-05-10;15;16,8571428571429
2020-05-11;16;16,5714285714286
2020-05-12;23;18
2020-05-13;17;19,2857142857143
2020-05-14;29;20,1428571428571
2020-05-15;17;19,5714285714286
2020-05-16;27;20,5714285714286
2020-05-17;30;22,7142857142857
2020-05-18;29;24,5714285714286
2020-05-19;23;24,5714285714286
2020-05-20;40;27,8571428571429
2020-05-21;30;28
2020-05-22;45;32
2020-05-23;42;34,1428571428571
2020-05-24;41;35,7142857142857
2020-05-25;40;37,2857142857143
2020-05-26;55;41,8571428571429
2020-05-27;42;42,1428571428571
2020-05-28;42;43,8571428571429
2020-05-29;48;44,2857142857143
2020-05-30;44;44,5714285714286
2020-05-31;44;45
2020-06-01;45;45,7142857142857
2020-06-02;49;44,8571428571429
2020-06-03;37;44,1428571428571
2020-06-04;47;44,8571428571429
2020-06-05;47;44,7142857142857
2020-06-06;53;46
2020-06-07;48;46,5714285714286
2020-06-08;50;47,2857142857143
2020-06-09;35;45,2857142857143
2020-06-10;50;47,1428571428571
2020-06-11;42;46,4285714285714
2020-06-12;56;47,7142857142857
2020-06-13;46;46,7142857142857
2020-06-14;43;46
2020-06-15;51;46,1428571428571
2020-06-16;55;49
2020-06-17;53;49,4285714285714
2020-06-18;56;51,4285714285714
2020-06-19;56;51,4285714285714
2020-06-20;58;53,1428571428571
2020-06-21;46;53,5714285714286
2020-06-22;49;53,2857142857143
2020-06-23;44;51,7142857142857
2020-06-24;45;50,5714285714286
2020-06-25;53;50,1428571428571
2020-06-26;42;48,1428571428571
2020-06-27;42;45,8571428571429
2020-06-28;46;45,8571428571429
2020-06-29;46;45,4285714285714
2020-06-30;51;46,4285714285714
2020-07-01;44;46,2857142857143
2020-07-02;45;45,1428571428571
2020-07-03;49;46,1428571428571
2020-07-04;49;47,1428571428571
2020-07-05;37;45,8571428571429
2020-07-06;45;45,7142857142857
2020-07-07;51;45,7142857142857
2020-07-08;44;45,7142857142857
2020-07-09;36;44,4285714285714
2020-07-10;34;42,2857142857143
2020-07-11;45;41,7142857142857
2020-07-12;47;43,1428571428571
2020-07-13;42;42,7142857142857
2020-07-14;48;42,2857142857143
2020-07-15;50;43,1428571428571
2020-07-16;38;43,4285714285714
2020-07-17;46;45,1428571428571
2020-07-18;47;45,4285714285714
2020-07-19;48;45,5714285714286
2020-07-20;34;44,4285714285714
2020-07-21;36;42,7142857142857
2020-07-22;30;39,8571428571429
2020-07-23;39;40
2020-07-24;26;37,1428571428571
2020-07-25;19;33,1428571428571
2020-07-26;28;30,2857142857143
2020-07-27;24;28,8571428571429
2020-07-28;34;28,5714285714286
2020-07-29;29;28,4285714285714
2020-07-30;19;25,5714285714286
2020-07-31;16;24,1428571428571
2020-08-01;9;22,7142857142857
2020-08-02;9;20
2020-08-03;2;16,8571428571429
