"DATA_OBITO";"NRS";"obitos";"mm_7d"
2020-03-28;"";0;NA
2020-03-28;"Centro-leste";0;NA
2020-03-28;"Centro-norte";0;NA
2020-03-28;"Extremo sul";0;NA
2020-03-28;"Leste";1;NA
2020-03-28;"Nordeste";0;NA
2020-03-28;"Norte";0;NA
2020-03-28;"Oeste";0;NA
2020-03-28;"Sudoeste";0;NA
2020-03-28;"Sul";0;NA
2020-03-29;"";0;NA
2020-03-29;"Centro-leste";0;NA
2020-03-29;"Centro-norte";0;NA
2020-03-29;"Extremo sul";0;NA
2020-03-29;"Leste";0;NA
2020-03-29;"Nordeste";0;NA
2020-03-29;"Norte";0;NA
2020-03-29;"Oeste";0;NA
2020-03-29;"Sudoeste";0;NA
2020-03-29;"Sul";0;NA
2020-03-30;"";0;NA
2020-03-30;"Centro-leste";1;NA
2020-03-30;"Centro-norte";0;NA
2020-03-30;"Extremo sul";0;NA
2020-03-30;"Leste";1;NA
2020-03-30;"Nordeste";0;NA
2020-03-30;"Norte";0;NA
2020-03-30;"Oeste";0;NA
2020-03-30;"Sudoeste";0;NA
2020-03-30;"Sul";0;NA
2020-03-31;"";0;NA
2020-03-31;"Centro-leste";0;NA
2020-03-31;"Centro-norte";0;NA
2020-03-31;"Extremo sul";0;NA
2020-03-31;"Leste";0;NA
2020-03-31;"Nordeste";0;NA
2020-03-31;"Norte";0;NA
2020-03-31;"Oeste";0;NA
2020-03-31;"Sudoeste";0;NA
2020-03-31;"Sul";0;NA
2020-04-01;"";0;NA
2020-04-01;"Centro-leste";0;NA
2020-04-01;"Centro-norte";0;NA
2020-04-01;"Extremo sul";0;NA
2020-04-01;"Leste";0;NA
2020-04-01;"Nordeste";0;NA
2020-04-01;"Norte";0;NA
2020-04-01;"Oeste";0;NA
2020-04-01;"Sudoeste";1;NA
2020-04-01;"Sul";0;NA
2020-04-02;"";0;NA
2020-04-02;"Centro-leste";0;NA
2020-04-02;"Centro-norte";0;NA
2020-04-02;"Extremo sul";0;NA
2020-04-02;"Leste";2;NA
2020-04-02;"Nordeste";0;NA
2020-04-02;"Norte";0;NA
2020-04-02;"Oeste";0;NA
2020-04-02;"Sudoeste";0;NA
2020-04-02;"Sul";0;NA
2020-04-03;"";0;0
2020-04-03;"Centro-leste";0;0,142857142857143
2020-04-03;"Centro-norte";0;0
2020-04-03;"Extremo sul";0;0
2020-04-03;"Leste";2;0,857142857142857
2020-04-03;"Nordeste";0;0
2020-04-03;"Norte";0;0
2020-04-03;"Oeste";0;0
2020-04-03;"Sudoeste";0;0,142857142857143
2020-04-03;"Sul";0;0
2020-04-04;"";0;0
2020-04-04;"Centro-leste";0;0,142857142857143
2020-04-04;"Centro-norte";0;0
2020-04-04;"Extremo sul";0;0
2020-04-04;"Leste";1;0,857142857142857
2020-04-04;"Nordeste";0;0
2020-04-04;"Norte";0;0
2020-04-04;"Oeste";0;0
2020-04-04;"Sudoeste";0;0,142857142857143
2020-04-04;"Sul";1;0,142857142857143
2020-04-05;"";0;0
2020-04-05;"Centro-leste";0;0,142857142857143
2020-04-05;"Centro-norte";0;0
2020-04-05;"Extremo sul";0;0
2020-04-05;"Leste";1;1
2020-04-05;"Nordeste";0;0
2020-04-05;"Norte";0;0
2020-04-05;"Oeste";0;0
2020-04-05;"Sudoeste";0;0,142857142857143
2020-04-05;"Sul";0;0,142857142857143
2020-04-06;"";0;0
