"DATA_OBITO";"obitos";"mm_7d"
2020-03-28;1;NA
2020-03-30;2;NA
2020-04-01;1;NA
2020-04-02;3;NA
2020-04-03;4;NA
2020-04-04;1;NA
2020-04-05;2;2
2020-04-06;2;2,14285714285714
2020-04-07;4;2,42857142857143
2020-04-08;2;2,57142857142857
2020-04-09;1;2,28571428571429
2020-04-10;2;2
2020-04-11;1;2
2020-04-12;2;2
2020-04-13;3;2,14285714285714
2020-04-14;3;2
2020-04-15;6;2,57142857142857
2020-04-16;7;3,42857142857143
2020-04-17;3;3,57142857142857
2020-04-18;8;4,57142857142857
2020-04-19;2;4,57142857142857
2020-04-20;3;4,57142857142857
2020-04-21;6;5
2020-04-22;11;5,71428571428571
2020-04-23;13;6,57142857142857
2020-04-24;8;7,28571428571429
2020-04-25;6;7
2020-04-26;6;7,57142857142857
2020-04-27;9;8,42857142857143
2020-04-28;10;9
2020-04-29;12;9,14285714285714
2020-04-30;14;9,28571428571429
2020-05-01;6;9
2020-05-02;13;10
2020-05-03;13;11
2020-05-04;18;12,2857142857143
2020-05-05;13;12,7142857142857
2020-05-06;8;12,1428571428571
2020-05-07;21;13,1428571428571
2020-05-08;21;15,2857142857143
2020-05-09;20;16,2857142857143
2020-05-10;13;16,2857142857143
2020-05-11;17;16,1428571428571
2020-05-12;22;17,4285714285714
2020-05-13;18;18,8571428571429
2020-05-14;30;20,1428571428571
2020-05-15;17;19,5714285714286
2020-05-16;26;20,4285714285714
2020-05-17;29;22,7142857142857
2020-05-18;26;24
2020-05-19;21;23,8571428571429
2020-05-20;39;26,8571428571429
2020-05-21;30;26,8571428571429
2020-05-22;44;30,7142857142857
2020-05-23;38;32,4285714285714
2020-05-24;42;34,2857142857143
2020-05-25;42;36,5714285714286
2020-05-26;50;40,7142857142857
2020-05-27;38;40,5714285714286
2020-05-28;42;42,2857142857143
2020-05-29;46;42,5714285714286
2020-05-30;43;43,2857142857143
2020-05-31;42;43,2857142857143
2020-06-01;42;43,2857142857143
2020-06-02;45;42,5714285714286
2020-06-03;36;42,2857142857143
2020-06-04;44;42,5714285714286
2020-06-05;39;41,5714285714286
2020-06-06;51;42,7142857142857
2020-06-07;43;42,8571428571429
2020-06-08;42;42,8571428571429
2020-06-09;31;40,8571428571429
2020-06-10;48;42,5714285714286
2020-06-11;39;41,8571428571429
2020-06-12;53;43,8571428571429
2020-06-13;41;42,4285714285714
2020-06-14;37;41,5714285714286
2020-06-15;46;42,1428571428571
2020-06-16;49;44,7142857142857
2020-06-17;46;44,4285714285714
2020-06-18;47;45,5714285714286
2020-06-19;44;44,2857142857143
2020-06-20;52;45,8571428571429
2020-06-21;41;46,4285714285714
2020-06-22;46;46,4285714285714
2020-06-23;41;45,2857142857143
2020-06-24;37;44
2020-06-25;48;44,1428571428571
2020-06-26;39;43,4285714285714
2020-06-27;37;41,2857142857143
2020-06-28;42;41,4285714285714
2020-06-29;45;41,2857142857143
2020-06-30;48;42,2857142857143
2020-07-01;43;43,1428571428571
2020-07-02;43;42,4285714285714
2020-07-03;48;43,7142857142857
2020-07-04;44;44,7142857142857
2020-07-05;36;43,8571428571429
2020-07-06;45;43,8571428571429
2020-07-07;49;44
2020-07-08;42;43,8571428571429
2020-07-09;36;42,8571428571429
2020-07-10;31;40,4285714285714
2020-07-11;43;40,2857142857143
2020-07-12;43;41,2857142857143
2020-07-13;38;40,2857142857143
2020-07-14;41;39,1428571428571
2020-07-15;40;38,8571428571429
2020-07-16;34;38,5714285714286
2020-07-17;38;39,5714285714286
2020-07-18;37;38,7142857142857
2020-07-19;36;37,7142857142857
2020-07-20;31;36,7142857142857
2020-07-21;15;33
2020-07-22;12;29
2020-07-23;7;25,1428571428571
2020-07-24;3;20,1428571428571
